Helen Hayes Theatre
Location,Row,FirstSeat,LastSeat
Orchestra,AA,101,110
Orchestra,BB,101,112
Orchestra,A,101,112
Orchestra,B,101,112
Orchestra,C,101,112
Orchestra,D,101,112
Orchestra,E,101,112
Orchestra,F,101,112
Orchestra,G,101,112
Orchestra,H,101,112
Orchestra,J,101,112
Orchestra,K,101,112
Orchestra,L,101,112
Orchestra,M,101,112
Orchestra,N,101,112
Orchestra,O,101,112
Orchestra,P,101,111
Orchestra,A,1,4
Orchestra,B,1,6
Orchestra,C,1,8
Orchestra,D,1,10
Orchestra,E,1,12
Orchestra,F,1,12
Orchestra,G,1,14
Orchestra,H,1,14
Orchestra,J,1,14
Orchestra,K,1,14
Orchestra,L,1,14
Orchestra,M,1,14
Orchestra,N,1,14
Orchestra,O,1,14
Orchestra,P,1,14
Mezzanine,A,101,112
Mezzanine,B,101,112
Mezzanine,C,101,112
Mezzanine,D,101,112
Mezzanine,E,101,112
Mezzanine,F,101,112
Mezzanine,G,101,113
Mezzanine,H,101,114
Mezzanine,J,101,114
Mezzanine,A,1,13
Mezzanine,B,1,14
Mezzanine,C,1,14
Mezzanine,D,1,14
Mezzanine,E,1,14
Mezzanine,F,1,14
Mezzanine,G,1,10
Mezzanine,H,1,8
Mezzanine,J,2,2
Mezzanine,J,4,4
Mezzanine,J,6,6
Mezzanine,J,8,8
